Wet Reading,Control Material: Wet Soil
Time,Sensor1,Sensor2,Sensor3
1,8432,8416,12912
2,8432,8416,12448
3,8432,8416,12720
4,8432,8416,12784
5,8432,8416,13776
6,8432,8416,13648
7,8432,8416,13296
8,8432,8416,13840
9,8432,8416,13824
10,8432,8416,13760
11,8432,8416,13648
12,8432,8416,13712
13,8432,8416,13600
14,8432,8416,13440
15,8432,8416,14080
16,8432,8416,14048
17,8432,8416,14016
18,8432,8416,14048
19,8432,8416,13984
20,8432,8416,13808
21,8432,8416,13616
22,8432,8416,13728
23,8432,8416,13808
24,8432,8416,13904
25,8432,8416,13904
26,8432,8416,14112
27,8432,8416,14112
28,8432,8416,14112
29,8432,8416,14112
30,8432,8416,14064
31,8432,8416,14032
32,8432,8416,13408
33,8432,8416,13728
34,8432,8416,13856
35,8432,8400,13088
36,8432,8416,12944
37,8432,8416,13136
38,8432,8416,12864
39,8432,8416,14000
40,8432,8416,14000
41,8432,8416,14000
42,8432,8416,12992
43,8432,8416,13984
44,8432,8416,13856
45,8432,8416,13936
46,8432,8416,14064
47,8432,8416,14096
48,8432,8416,14096
49,8432,8416,14080
50,8432,8416,14032
51,8432,8416,14016
52,8432,8416,14032
53,8432,8416,14080
54,8432,8416,14016
55,8432,8416,14128
56,8432,8416,14144
57,8432,8416,14128
58,8432,8416,14128
59,8432,8416,14128
60,8432,8416,14112
