Wet Reading,Time(s)
12432,0
12448,1
12432,2
12480,3
12480,4
12464,5
12464,6
12464,7
12448,8
12448,9
12448,10
12432,11
12480,12
12496,13
12496,14
12528,15
12528,16
12544,17
12544,18
12544,19
12560,20
12560,21
12560,22
12640,23
12560,24
12576,25
12560,26
12560,27
12560,28
12544,29
12544,30
12544,31
12528,32
12528,33
12528,34
12528,35
12528,36
12528,37
12512,38
12544,39
12496,40
12496,41
12512,42
12512,43
12496,44
12496,45
12496,46
12464,47
12480,48
12480,49
12464,50
12464,51
12448,52
12464,53
12464,54
12480,55
12480,56
12496,57
12496,58
12496,59
