Wet Reading,Control Material: Wet Soil
Time,Sensor1,Sensor2,Sensor3
1,8464,8432,14080
2,8464,8448,14080
3,8464,8448,14112
4,8464,8448,14128
5,8464,8448,14128
6,8464,8448,14128
7,8464,8448,14128
8,8464,8448,14112
9,8464,8448,14112
10,8464,8448,13888
11,8464,8448,14048
12,8464,8448,13984
13,8464,8448,14080
14,8464,8448,13984
15,8464,8448,13600
16,8464,8448,13680
17,8464,8448,13632
18,8464,8448,12768
19,8464,8448,13040
20,8464,8448,13248
21,8464,8448,12896
22,8464,8448,13008
23,8464,8448,13216
24,8464,8448,12640
25,8464,8448,12112
26,8464,8448,12096
27,8464,8448,11616
28,8464,8448,12160
29,8448,8432,13152
30,8464,8448,12496
31,8448,8448,11488
32,8448,8432,11888
33,8448,8432,12224
34,8448,8432,12304
35,8448,8432,12400
36,8464,8432,11872
37,8464,8432,11376
38,8464,8432,12096
39,8448,8432,11888
40,8448,8432,11760
41,8464,8432,11872
42,8448,8432,11824
43,8448,8432,11376
44,8448,8432,11440
45,8448,8432,11328
46,8448,8432,11360
47,8448,8432,11328
48,8448,8432,11248
49,8448,8432,11152
50,8448,8432,11424
51,8448,8432,11648
52,8448,8432,11504
53,8448,8432,11344
54,8448,8432,11392
55,8448,8432,11216
56,8448,8432,11200
57,8448,8432,11424
58,8448,8432,11024
59,8448,8432,11344
60,8448,8432,11264
